"Date","Price","Open","High","Low","Vol.","Change %"
"06/08/2022","68,639.3","68,349.3","69,026.0","68,349.3","1.70M","0.57%"
"06/07/2022","68,252.6","67,962.6","68,349.3","67,672.5","1.32M","-0.28%"
"06/06/2022","68,445.9","67,865.9","68,832.6","67,672.5","1.43M","0.71%"
"06/03/2022","67,962.6","68,639.3","68,929.3","67,672.5","1.05M","-1.13%"
"06/02/2022","68,736.0","69,606.0","69,606.0","68,445.9","1.49M","-1.11%"
"06/01/2022","69,509.4","69,122.7","70,186.1","68,929.3","1.23M","0.28%"
"05/31/2022","69,316.0","69,702.7","69,992.7","69,316.0","2.06M","-1.10%"
"05/30/2022","70,089.4","70,476.1","70,476.1","69,606.0","2.12M","-0.68%"
"05/27/2022","70,572.8","68,929.3","70,862.8","68,349.3","3.46M","2.38%"
"05/26/2022","68,929.3","69,509.4","69,509.4","68,349.3","1.53M","-0.83%"
"05/25/2022","69,509.4","66,609.1","69,896.1","66,609.1","2.36M","4.35%"
"05/24/2022","66,609.1","64,482.3","66,609.1","64,288.9","2.03M","3.92%"
"05/23/2022","64,095.6","66,222.4","66,415.8","63,998.9","2.02M","-2.64%"
"05/20/2022","65,835.7","66,705.8","67,575.9","65,739.0","1.30M","-1.30%"
"05/19/2022","66,705.8","67,189.2","67,672.5","66,705.8","1.45M","-1.85%"
"05/18/2022","67,962.6","67,672.5","68,155.9","67,189.2","1.98M","0.43%"
"05/17/2022","67,672.5","63,418.8","67,672.5","63,032.1","2.11M","6.38%"
"05/16/2022","63,612.2","64,385.6","65,352.3","63,515.5","1.98M","-0.45%"
"05/13/2022","63,902.2","64,772.3","65,545.7","63,708.9","4.59M","-0.60%"
"05/12/2022","64,288.9","67,479.2","67,479.2","64,288.9","3.19M","-4.32%"
"05/11/2022","67,189.2","68,252.6","68,736.0","67,189.2","1.79M","-1.56%"
"05/10/2022","68,252.6","67,672.5","69,509.4","67,672.5","3.11M","0.86%"
"05/09/2022","67,672.5","67,865.9","69,122.7","67,285.8","2.39M","-0.28%"
"05/06/2022","67,865.9","69,026.0","69,219.3","67,189.2","2.11M","-2.64%"
"05/05/2022","69,702.7","70,766.1","70,766.1","69,122.7","1.55M","-0.55%"
"05/04/2022","70,089.4","71,732.9","71,926.3","70,089.4","1.76M","-2.29%"
"04/29/2022","71,732.9","71,926.3","72,506.3","71,539.6","1.63M","-0.13%"
"04/28/2022","71,829.6","72,409.6","72,409.6","71,346.2","1.91M","-0.93%"
"04/27/2022","72,506.3","72,699.7","73,279.7","71,249.5","1.83M","-1.19%"
"04/26/2022","73,376.4","71,056.2","73,473.1","68,542.6","3.88M","3.27%"
"04/25/2022","71,056.2","73,473.1","73,763.1","70,572.8","2.66M","-3.16%"
"04/22/2022","73,376.4","73,183.0","73,956.4","72,989.7","2.80M","1.20%"
"04/21/2022","72,506.3","72,796.3","73,956.4","72,506.3","4.62M","-0.79%"
"04/20/2022","73,086.4","73,473.1","74,149.8","73,086.4","1.93M","-0.53%"
"04/19/2022","73,473.1","74,536.5","75,116.5","73,473.1","1.67M","-1.30%"
"04/18/2022","74,439.8","73,956.4","75,309.9","73,859.8","2.56M","0.65%"
"04/15/2022","73,956.4","73,956.4","75,019.9","73,473.1","1.36M","0.26%"
"04/14/2022","73,763.1","74,923.2","75,406.6","73,763.1","1.81M","-1.17%"
"04/13/2022","74,633.2","74,246.5","75,889.9","74,149.8","2.12M","0.52%"
"04/12/2022","74,246.5","74,729.8","75,213.2","73,956.4","1.78M","-0.65%"
"04/08/2022","74,729.8","75,889.9","76,470.0","74,729.8","2.74M","-1.53%"
"04/07/2022","75,889.9","77,243.4","77,340.1","75,889.9","1.76M","-1.01%"
"04/06/2022","76,663.3","77,340.1","78,500.2","76,470.0","4.31M","-1.37%"
"04/05/2022","77,726.8","79,080.2","79,080.2","77,726.8","2.20M","-2.19%"
"04/04/2022","79,466.9","79,273.6","79,756.9","78,790.2","3.81M","0.61%"
"04/01/2022","78,983.5","78,306.8","79,950.3","77,630.1","6.11M","0.99%"
"03/31/2022","78,210.1","73,666.4","78,306.8","73,473.1","9.65M","6.17%"
"03/30/2022","73,666.4","72,989.7","74,053.1","72,603.0","3.41M","0.93%"
"03/29/2022","72,989.7","71,056.2","72,989.7","71,056.2","2.14M","2.86%"
"03/28/2022","70,959.5","72,796.3","73,086.4","70,959.5","4.04M","-2.39%"
"03/25/2022","72,699.7","73,086.4","73,279.7","72,603.0","2.70M","-0.53%"
"03/24/2022","73,086.4","73,473.1","73,569.7","72,699.7","3.39M","-0.66%"
"03/23/2022","73,569.7","74,246.5","74,439.8","73,376.4","3.23M","-1.04%"
"03/22/2022","74,343.1","75,309.9","75,309.9","74,246.5","2.39M","-0.90%"
"03/21/2022","75,019.9","73,473.1","75,309.9","73,473.1","1.88M","2.11%"
"03/18/2022","73,473.1","74,053.1","74,439.8","73,473.1","4.23M","-0.52%"
"03/17/2022","73,859.8","75,019.9","75,213.2","73,859.8","1.35M","-1.16%"
"03/16/2022","74,729.8","74,633.2","75,406.6","74,439.8","1.85M","0.13%"
"03/15/2022","74,633.2","74,439.8","74,923.2","73,763.1","1.48M","0.00%"
