"Date","Price","Open","High","Low","Vol.","Change %"
"11/24/2021","103,910.0","103,222.0","104,205.0","102,239.0","298.30K","0.00%"
"11/23/2021","103,910.0","100,764.0","103,910.0","100,764.0","491.00K","1.63%"
"11/22/2021","102,239.0","100,567.0","103,123.0","100,567.0","418.50K","1.66%"
"11/19/2021","100,567.0","104,598.0","105,188.0","99,289.0","894.50K","-3.67%"
"11/18/2021","104,401.0","104,303.0","107,154.0","104,205.0","376.30K","-0.19%"
"11/17/2021","104,598.0","106,171.0","106,367.0","104,205.0","461.40K","-1.48%"
"11/16/2021","106,171.0","108,628.0","108,628.0","104,205.0","815.60K","-2.53%"
"11/15/2021","108,923.0","109,120.0","110,103.0","107,154.0","896.00K","0.82%"
"11/12/2021","108,039.0","102,730.0","108,137.0","101,747.0","826.30K","5.17%"
"11/11/2021","102,730.0","104,008.0","108,334.0","100,764.0","1.05M","1.46%"
"11/10/2021","101,256.0","103,811.0","104,795.0","98,306.0","690.00K","-2.83%"
"11/09/2021","104,205.0","106,171.0","106,466.0","103,713.0","719.60K","-1.85%"
"11/08/2021","106,171.0","105,778.0","107,056.0","104,991.0","422.30K","0.00%"
"11/05/2021","106,171.0","102,239.0","106,171.0","100,076.0","926.50K","3.85%"
"11/04/2021","102,239.0","103,025.0","103,222.0","100,272.0","672.70K","-0.48%"
"11/03/2021","102,730.0","102,140.0","103,025.0","100,076.0","938.70K","-0.48%"
"11/02/2021","103,222.0","100,174.0","103,222.0","99,093.0","509.20K","3.86%"
"11/01/2021","99,388.0","102,239.0","102,828.0","99,289.0","679.60K","-2.79%"
"10/29/2021","102,239.0","99,486.0","103,123.0","99,191.0","1.68M","2.36%"
"10/28/2021","99,879.0","100,272.0","101,256.0","99,289.0","628.20K","-0.29%"
"10/27/2021","100,174.0","96,635.0","100,272.0","96,635.0","850.40K","3.66%"
"10/26/2021","96,635.0","96,930.0","98,208.0","96,340.0","536.50K","-0.81%"
"10/25/2021","97,422.0","96,832.0","98,798.0","96,537.0","407.70K","0.10%"
"10/22/2021","97,323.0","97,225.0","97,323.0","95,947.0","285.50K","1.02%"
"10/21/2021","96,340.0","99,289.0","99,289.0","96,242.0","650.00K","-1.01%"
"10/20/2021","97,323.0","96,832.0","98,208.0","95,554.0","809.90K","1.02%"
"10/19/2021","96,340.0","97,323.0","97,716.0","96,340.0","540.90K","-1.01%"
"10/18/2021","97,323.0","98,405.0","99,289.0","96,340.0","797.90K","-1.49%"
"10/15/2021","98,798.0","99,191.0","99,683.0","98,700.0","514.80K","-0.49%"
"10/14/2021","99,289.0","98,405.0","100,272.0","98,405.0","583.40K","0.00%"
"10/13/2021","99,289.0","99,191.0","100,371.0","97,815.0","469.20K","1.00%"
"10/12/2021","98,306.0","99,879.0","100,272.0","98,306.0","399.20K","-1.96%"
"10/11/2021","100,272.0","98,306.0","100,272.0","97,028.0","731.10K","2.51%"
"10/08/2021","97,815.0","95,750.0","97,815.0","94,866.0","647.90K","2.58%"
"10/07/2021","95,357.0","96,439.0","97,323.0","95,357.0","414.30K","-1.12%"
"10/06/2021","96,439.0","95,357.0","96,733.0","93,981.0","381.00K","1.13%"
"10/05/2021","95,357.0","95,652.0","96,340.0","94,669.0","548.00K","-1.82%"
"10/04/2021","97,127.0","97,323.0","98,306.0","95,357.0","434.00K","-0.20%"
"10/01/2021","97,323.0","95,357.0","97,815.0","95,357.0","610.70K","0.30%"
"09/30/2021","97,028.0","91,523.0","97,028.0","91,425.0","1.79M","5.79%"
"09/29/2021","91,720.0","90,638.0","91,720.0","90,638.0","365.70K","0.32%"
"09/28/2021","91,425.0","89,459.0","91,425.0","89,066.0","771.50K","2.20%"
"09/27/2021","89,459.0","90,049.0","91,916.0","89,262.0","461.10K","-1.09%"
"09/24/2021","90,442.0","90,638.0","90,638.0","89,852.0","295.80K","-0.22%"
"09/23/2021","90,638.0","91,523.0","91,523.0","90,442.0","371.10K","-0.97%"
"09/22/2021","91,523.0","89,066.0","91,523.0","87,984.0","688.30K","3.33%"
"09/21/2021","88,574.0","88,181.0","89,459.0","87,689.0","494.90K","-0.99%"
"09/20/2021","89,459.0","90,442.0","90,442.0","89,164.0","440.10K","-1.62%"
"09/17/2021","90,933.0","91,425.0","91,425.0","89,655.0","346.70K","-0.54%"
"09/16/2021","91,425.0","89,852.0","91,425.0","89,459.0","642.20K","1.20%"
"09/15/2021","90,344.0","87,001.0","90,344.0","87,001.0","540.60K","3.26%"
"09/14/2021","87,493.0","90,344.0","90,442.0","87,493.0","840.70K","-3.26%"
"09/13/2021","90,442.0","91,425.0","92,408.0","89,655.0","481.00K","-2.13%"
"09/10/2021","92,408.0","89,066.0","92,408.0","88,476.0","1.07M","3.87%"
"09/09/2021","88,967.0","84,052.0","88,967.0","84,052.0","1.26M","4.99%"
"09/08/2021","84,740.0","84,740.0","84,838.0","84,347.0","665.70K","0.00%"
"09/07/2021","84,740.0","85,625.0","85,723.0","84,543.0","1.04M","-0.35%"
"09/06/2021","85,035.0","84,838.0","85,330.0","84,052.0","723.20K","1.41%"
"09/01/2021","83,855.0","84,052.0","84,445.0","83,462.0","1.05M","-0.81%"
"08/31/2021","84,543.0","84,937.0","85,035.0","84,445.0","530.00K","-0.46%"
"08/30/2021","84,937.0","84,543.0","85,527.0","84,249.0","781.90K","0.70%"
"08/27/2021","84,347.0","84,838.0","86,608.0","83,560.0","1.11M","-0.46%"
"08/26/2021","84,740.0","87,493.0","88,476.0","84,740.0","591.20K","-3.15%"
"08/25/2021","87,493.0","87,001.0","87,984.0","86,608.0","306.20K","0.79%"
"08/24/2021","86,804.0","87,296.0","88,181.0","86,706.0","478.50K","-0.23%"
"08/23/2021","87,001.0","87,591.0","89,459.0","87,001.0","841.40K","-3.28%"
"08/20/2021","89,950.0","92,408.0","93,391.0","89,360.0","416.80K","-2.66%"
"08/19/2021","92,408.0","93,391.0","94,374.0","92,408.0","838.30K","-0.74%"
"08/18/2021","93,096.0","94,276.0","94,276.0","92,998.0","513.70K","-0.84%"
"08/17/2021","93,883.0","93,194.0","94,276.0","92,801.0","316.00K","1.06%"
"08/16/2021","92,899.0","92,899.0","93,391.0","92,408.0","448.90K","0.00%"
"08/13/2021","92,899.0","93,391.0","93,391.0","91,425.0","524.80K","0.00%"
"08/12/2021","92,899.0","94,276.0","94,276.0","92,703.0","444.40K","-0.94%"
"08/11/2021","93,784.0","94,177.0","94,669.0","93,686.0","350.80K","-0.42%"
"08/10/2021","94,177.0","94,669.0","95,161.0","93,883.0","439.80K","-0.73%"
"08/09/2021","94,866.0","95,849.0","95,849.0","94,276.0","421.50K","0.31%"
"08/06/2021","94,571.0","93,784.0","94,964.0","93,489.0","391.60K","0.42%"
"08/05/2021","94,177.0","94,472.0","94,866.0","93,391.0","348.00K","-0.73%"
"08/04/2021","94,866.0","96,144.0","96,144.0","94,079.0","424.70K","0.00%"
"08/03/2021","94,866.0","94,866.0","94,866.0","93,293.0","516.90K","0.94%"
"08/02/2021","93,981.0","94,079.0","94,276.0","92,113.0","537.20K","-0.21%"
"07/30/2021","94,177.0","91,032.0","94,177.0","90,933.0","997.80K","3.01%"
"07/29/2021","91,425.0","91,327.0","91,425.0","88,672.0","732.80K","3.22%"
"07/28/2021","88,574.0","88,574.0","89,459.0","88,377.0","395.90K","0.00%"
"07/27/2021","88,574.0","90,344.0","91,228.0","88,476.0","930.60K","-0.66%"
"07/26/2021","89,164.0","89,360.0","90,442.0","88,377.0","536.80K","-0.33%"
"07/23/2021","89,459.0","92,310.0","92,408.0","89,459.0","584.60K","-2.26%"
"07/22/2021","91,523.0","89,459.0","93,194.0","89,164.0","416.20K","2.08%"
"07/21/2021","89,655.0","89,459.0","90,442.0","88,476.0","532.60K","-0.87%"
"07/20/2021","90,442.0","90,933.0","91,130.0","86,411.0","784.30K","0.44%"
"07/19/2021","90,049.0","93,391.0","94,866.0","90,049.0","911.70K","-4.58%"
"07/16/2021","94,374.0","94,374.0","94,866.0","93,588.0","488.90K","0.95%"
"07/15/2021","93,489.0","94,374.0","94,964.0","92,408.0","1.04M","-0.94%"
"07/14/2021","94,374.0","100,764.0","100,764.0","94,374.0","792.00K","-3.23%"
"07/13/2021","97,520.0","101,747.0","101,747.0","96,930.0","532.00K","-2.84%"
"07/12/2021","100,371.0","103,222.0","105,679.0","96,537.0","1.72M","-3.22%"
"07/09/2021","103,713.0","102,337.0","107,252.0","101,944.0","1.06M","-0.09%"
"07/08/2021","103,811.0","106,171.0","106,171.0","103,025.0","867.10K","-0.85%"
"07/07/2021","104,696.0","98,306.0","104,696.0","97,913.0","1.80M","6.93%"
"07/06/2021","97,913.0","97,618.0","101,256.0","97,618.0","1.33M","0.30%"
"07/05/2021","97,618.0","99,781.0","99,781.0","97,127.0","842.60K","-0.20%"
"07/02/2021","97,815.0","98,503.0","98,503.0","97,323.0","434.50K","-0.70%"
"07/01/2021","98,503.0","98,994.0","99,486.0","97,815.0","342.60K","0.10%"
"06/30/2021","98,405.0","97,323.0","99,289.0","97,028.0","638.80K","1.52%"
"06/29/2021","96,930.0","96,439.0","97,323.0","96,439.0","300.50K","0.51%"
"06/28/2021","96,439.0","95,554.0","96,537.0","95,554.0","248.60K","0.72%"
"06/25/2021","95,750.0","96,340.0","96,635.0","95,357.0","219.20K","-0.71%"
"06/24/2021","96,439.0","97,127.0","97,618.0","96,439.0","177.50K","-0.71%"
"06/23/2021","97,127.0","97,618.0","97,618.0","96,733.0","217.00K","0.30%"
"06/22/2021","96,832.0","97,323.0","97,815.0","96,537.0","280.20K","0.41%"
"06/21/2021","96,439.0","97,323.0","97,323.0","95,161.0","392.90K","0.10%"
"06/18/2021","96,340.0","97,127.0","97,127.0","94,374.0","320.30K","2.62%"
"06/17/2021","93,883.0","93,391.0","94,571.0","92,998.0","367.50K","0.42%"
"06/16/2021","93,489.0","94,374.0","94,964.0","93,391.0","481.80K","-0.94%"
"06/15/2021","94,374.0","94,866.0","95,750.0","94,374.0","382.10K","-1.03%"
"06/14/2021","95,357.0","96,340.0","96,439.0","95,357.0","350.50K","0.10%"
"06/11/2021","95,259.0","93,489.0","96,832.0","93,489.0","325.90K","1.15%"
